msoa,index-of-transport-accessibility
E02000984,570
E02000985,601
E02000986,644
E02000987,745
E02000988,715
E02000989,597
E02000990,703
E02000991,687
E02000992,786
E02000993,744
E02000994,763
E02000995,713
E02000996,677
E02000997,827
E02000998,757
E02000999,841
E02001000,815
E02001001,735
E02001002,684
E02001003,858
E02001004,746
E02001005,858
E02001006,804
E02001007,686
E02001008,809
E02001009,898
E02001010,866
E02001011,873
E02001012,829
E02001013,919
E02001014,777
E02001015,956
E02001016,859
E02001017,943
E02001018,722
E02001019,745
E02001020,750
E02001021,694
E02001022,835
E02001023,711
E02001024,647
E02001025,946
E02001026,958
E02001027,744
E02001028,658
E02001029,851
E02001030,631
E02001031,851
E02001032,648
E02001033,714
E02001034,696
E02001035,875
E02001036,820
E02001037,953
E02001038,984
E02001039,955
E02001040,964
E02001041,939
E02001042,930
E02001043,865
E02001044,864
E02001045,909
E02001046,935
E02001047,858
E02001048,846
E02001049,882
E02001050,833
E02001051,736
E02001052,756
E02001053,682
E02001055,710
E02001056,646
E02001057,693
E02001059,636
E02001061,691
E02001062,744
E02001063,765
E02001064,668
E02001065,663
E02001066,658
E02001067,688
E02001068,759
E02001069,704
E02001070,659
E02001071,604
E02001072,680
E02001073,753
E02001074,718
E02001075,577
E02001076,589
E02001077,746
E02001078,585
E02001079,760
E02001080,651
E02001081,753
E02001082,732
E02001083,791
E02001084,679
E02001085,676
E02001086,832
E02001087,735
E02001088,842
E02001089,780
E02001090,866
E02001091,791
E02001092,825
E02001093,810
E02001094,817
E02001095,840
E02001096,784
E02001097,824
E02001098,794
E02001099,844
E02001100,795
E02001101,840
E02001102,855
E02001103,680
E02001104,777
E02001105,921
E02001106,902
E02001107,957
E02001108,766
E02001109,774
E02001110,557
E02001111,849
E02001112,901
E02001113,909
E02001114,943
E02001115,671
E02001116,794
E02001117,439
E02001118,644
E02001119,808
E02001121,854
E02001123,715
E02001124,926
E02001125,940
E02001126,794
E02001127,833
E02001128,903
E02001129,811
E02001130,832
E02001131,741
E02001132,650
E02001133,658
E02001134,842
E02001135,743
E02001136,772
E02001137,751
E02001138,741
E02001139,808
E02001140,855
E02001141,895
E02001142,849
E02001143,934
E02001144,975
E02001145,953
E02001146,912
E02001147,925
E02001148,912
E02001149,877
E02001150,837
E02001151,981
E02001152,943
E02001153,897
E02001154,889
E02001155,893
E02001156,948
E02001157,800
E02001158,772
E02001159,843
E02001160,806
E02001161,982
E02001162,928
E02001163,935
E02001164,891
E02001165,899
E02001166,819
E02001167,782
E02001168,886
E02001169,918
E02001170,938
E02001171,887
E02001172,794
E02001173,802
E02001174,857
E02001175,982
E02001176,927
E02001177,904
E02001178,804
E02001179,829
E02001180,871
E02001181,973
E02001182,874
E02001183,946
E02001184,881
E02001185,801
E02001186,767
E02001187,766
E02001188,676
E02001189,698
E02001190,808
E02001191,686
E02001192,700
E02001193,783
E02001194,727
E02001195,808
E02001196,550
E02001197,824
E02001198,710
E02001199,753
E02001200,791
E02001201,756
E02001202,737
E02001203,401
E02001204,799
E02001205,766
E02001206,456
E02001207,561
E02001208,830
E02001209,677
E02001210,619
E02001211,822
E02001212,672
