msoa,index-of-transport-accessibility
E02000984,87
E02000985,94
E02000986,94
E02000987,90
E02000988,100
E02000989,100
E02000990,87
E02000991,100
E02000992,93
E02000993,106
E02000994,103
E02000995,104
E02000996,116
E02000997,94
E02000998,107
E02000999,109
E02001000,116
E02001001,106
E02001002,120
E02001003,104
E02001004,109
E02001005,111
E02001006,107
E02001007,127
E02001008,110
E02001009,112
E02001010,128
E02001011,108
E02001012,123
E02001013,115
E02001014,106
E02001015,139
E02001016,134
E02001017,144
E02001018,104
E02001019,86
E02001020,93
E02001021,97
E02001022,116
E02001023,112
E02001024,109
E02001025,132
E02001026,139
E02001027,124
E02001028,120
E02001029,140
E02001030,123
E02001031,151
E02001032,133
E02001033,137
E02001034,140
E02001035,167
E02001036,154
E02001037,171
E02001038,181
E02001039,182
E02001040,189
E02001041,199
E02001042,203
E02001043,195
E02001044,209
E02001045,190
E02001046,197
E02001047,190
E02001048,204
E02001049,192
E02001050,203
E02001051,203
E02001052,211
E02001053,212
E02001055,202
E02001056,207
E02001057,222
E02001059,215
E02001061,209
E02001062,219
E02001063,214
E02001064,213
E02001065,207
E02001066,212
E02001067,209
E02001068,207
E02001069,208
E02001070,211
E02001071,213
E02001072,200
E02001073,191
E02001074,201
E02001075,211
E02001076,203
E02001077,185
E02001078,207
E02001079,193
E02001080,203
E02001081,180
E02001082,194
E02001083,188
E02001084,193
E02001085,193
E02001086,177
E02001087,180
E02001088,156
E02001089,176
E02001090,165
E02001091,144
E02001092,146
E02001093,150
E02001094,139
E02001095,134
E02001096,135
E02001097,125
E02001098,110
E02001099,105
E02001100,108
E02001101,122
E02001102,121
E02001103,84
E02001104,107
E02001105,137
E02001106,132
E02001107,155
E02001108,123
E02001109,120
E02001110,93
E02001111,140
E02001112,165
E02001113,151
E02001114,161
E02001115,115
E02001116,130
E02001117,86
E02001118,109
E02001119,139
E02001121,152
E02001123,135
E02001124,172
E02001125,181
E02001126,156
E02001127,171
E02001128,184
E02001129,189
E02001130,179
E02001131,191
E02001132,57
E02001133,61
E02001134,69
E02001135,78
E02001136,89
E02001137,98
E02001138,106
E02001139,93
E02001140,106
E02001141,103
E02001142,111
E02001143,100
E02001144,87
E02001145,83
E02001146,110
E02001147,119
E02001148,123
E02001149,132
E02001150,130
E02001151,137
E02001152,159
E02001153,163
E02001154,172
E02001155,174
E02001156,182
E02001157,135
E02001158,140
E02001159,150
E02001160,137
E02001161,177
E02001162,176
E02001163,153
E02001164,194
E02001165,177
E02001166,212
E02001167,200
E02001168,187
E02001169,142
E02001170,179
E02001171,196
E02001172,215
E02001173,203
E02001174,194
E02001175,170
E02001176,176
E02001177,188
E02001178,220
E02001179,195
E02001180,201
E02001181,162
E02001182,173
E02001183,169
E02001184,199
E02001185,119
E02001186,99
E02001187,193
E02001188,196
E02001189,184
E02001190,163
E02001191,146
E02001192,190
E02001193,175
E02001194,186
E02001195,148
E02001196,122
E02001197,178
E02001198,138
E02001199,179
E02001200,164
E02001201,151
E02001202,162
E02001203,93
E02001204,156
E02001205,150
E02001206,105
E02001207,129
E02001208,150
E02001209,150
E02001210,134
E02001211,153
E02001212,146
E02001213,138
E02001214,149
E02001215,97
E02001216,139
E02001217,127
E02001218,136
E02001219,123
E02001220,136
E02001221,114
E02001222,137
E02001223,125
E02001224,93
E02001225,131
E02001226,135
E02001227,123
E02001228,115
E02001229,107
E02001230,148
E02001231,99
E02001232,142
E02001233,168
E02001234,157
E02001235,151
E02001236,137
E02001237,115
E02001238,179
E02001239,189
E02001240,201
E02001241,167
E02001242,188
E02001243,126
E02001244,145
E02001245,157
E02001246,150
E02001247,177
E02001248,149
E02001249,174
E02001250,138
E02001251,98
E02001252,195
E02001253,181
E02001254,171
E02001255,107
E02001256,150
E02001257,165
E02001258,146
E02001259,204
E02001260,157
E02001261,180
E02001262,194
E02001263,132
E02001264,165
E02001265,125
E02001266,158
E02001267,149
E02001268,143
E02001269,178
E02001270,148
E02001271,136
E02001272,157
E02001273,149
E02001274,138
E02001275,77
E02001276,156
E02001277,123
E02001278,133
E02001279,136
E02001280,134
E02001281,125
E02001282,120
E02001283,115
E02001284,110
E02001285,102
E02001286,109
E02001287,66
E02001288,72
E02001289,73
E02001290,96
E02001291,81
E02001292,86
E02001293,93
E02001294,84
E02001295,96
E02001296,79
E02001297,76
E02001298,98
E02001299,102
E02001300,81
E02001301,83
E02001302,100
E02001303,110
E02001304,76
E02001305,104
E02001306,84
E02001307,82
E02001308,116
E02001309,113
E02001310,100
E02001311,129
E02001312,95
E02001313,113
E02001314,127
E02001315,138
E02001316,116
E02001317,114
E02001318,96
E02001319,111
E02001320,121
E02001321,97
E02001322,98
E02001323,117
E02001324,99
E02001325,100
E02001326,103
E02001327,112
E02001328,115
E02001329,126
E02001330,119
E02001331,130
E02001332,136
E02001333,133
E02001334,140
E02001335,134
E02001336,135
E02001337,133
E02001338,137
E02001339,128
E02001340,143
E02001341,127
E02001342,134
E02001343,125
E02001344,113
E02001345,109
E02001346,106
E02001347,129
E02001348,132
E02001349,132
E02001350,140
E02001351,140
E02001352,140
E02001353,137
E02001354,141
E02001355,142
E02001356,142
E02001357,142
E02001358,142
E02001359,141
E02001360,142
E02001361,145
E02001362,145
E02001363,140
E02001364,142
E02001365,144
E02001366,147
E02001367,146
E02001368,142
E02001369,144
E02001370,145
E02001371,140
E02001372,147
E02001373,151
E02001374,148
E02001375,149
E02001376,148
E02001377,151
E02001378,148
E02001380,145
E02001381,146
E02001382,141
E02001383,145
E02001384,143
E02001385,141
E02001386,129
E02001387,136
E02001388,138
E02001389,139
E02001390,136
E02001391,125
E02001392,128
E02001393,128
E02001394,131
E02001395,130
E02001396,131
E02001397,115
E02001398,123
E02001399,116
E02001400,109
E02001401,106
E02001402,110
E02001403,101
E02001404,88
E02001405,91
E02001406,102
E02001407,95
E02001408,95
E02001409,117
E02001410,100
E02001411,106
E02001412,128
E02001413,112
E02001414,136
E02001415,98
E02001416,109
E02001417,119
E02001418,96
E02001419,119
E02001420,98
E02001421,126
E02001422,104
E02001423,131
E02001424,122
E02001425,109
E02001426,128
E02001427,108
E02001428,123
E02001429,22
E02001430,22
E02001431,24
E02001432,23
E02001433,24
E02001434,25
E02001435,24
E02001436,25
E02001437,24
E02001438,28
E02001439,37
E02001440,35
E02001441,43
E02001442,46
E02001443,44
E02001444,53
E02001445,88
E02001446,91
E02001447,98
E02001448,99
E02001449,87
E02001450,80
E02001451,104
E02001452,100
E02001453,94
E02001454,116
E02001455,120
E02001456,89
E02001457,110
E02001458,101
E02001459,110
E02001460,110
E02001461,115
E02001462,122
E02001463,130
E02001464,126
E02001465,134
E02001466,139
E02001467,75
E02001468,85
E02001469,77
E02001470,86
E02001471,97
E02001472,66
E02001473,96
E02001474,108
E02001475,75
E02001476,109
E02001477,101
E02001478,65
E02001479,46
E02001480,39
E02001481,104
E02001482,127
E02001483,59
E02001484,73
E02001485,85
E02001486,113
E02001487,130
E02001488,121
E02001489,60
E02001490,99
E02001491,80
E02001492,42
E02001493,131
E02001494,43
E02001495,123
E02001496,104
E02001497,116
E02001498,113
E02001499,54
E02001500,62
E02001501,97
E02001502,101
E02001503,55
E02001504,82
E02001505,76
E02001506,59
E02001507,62
E02001508,62
E02001509,70
E02001510,68
E02001511,61
E02001512,61
E02001513,58
E02001514,58
E02001515,61
E02001516,59
E02001517,62
E02001518,59
E02001519,59
E02001520,56
E02001521,55
E02001522,71
E02001523,65
E02001524,47
E02001525,64
E02001526,63
E02001527,55
E02001528,73
E02001529,66
E02001530,76
E02001531,74
E02001532,32
E02001533,80
E02001534,77
E02001535,47
E02001536,78
E02001537,84
E02001538,81
E02001539,14
E02001540,38
E02001541,21
E02001542,30
E02001543,45
E02001544,32
E02001545,32
E02001546,31
E02001547,50
E02001548,45
E02001549,35
E02001550,49
E02001551,50
E02001552,34
E02001553,40
E02001554,52
E02001555,33
E02001556,40
E02001557,44
E02001558,72
E02001559,58
E02001560,49
E02001561,54
E02001562,36
E02001563,37
E02001564,32
E02001565,37
E02001566,53
E02001567,56
E02001568,70
E02001569,74
E02001570,64
E02001571,60
E02001572,60
E02001573,66
E02001574,31
E02001575,33
E02001576,22
E02001577,40
E02001578,86
E02001579,86
E02001580,81
E02001581,81
E02001582,89
E02001583,83
E02001584,110
E02001585,90
E02001586,107
E02001587,86
E02001588,110
E02001589,71
E02001590,98
E02001591,103
E02001592,113
E02001593,111
E02001594,107
E02001595,60
E02001596,73
E02001597,57
E02001598,96
E02001599,69
E02001600,100
E02001601,96
E02001602,108
E02001603,64
E02001604,98
E02001605,44
E02001606,38
E02001607,77
E02001608,74
E02001609,37
E02001610,43
E02001611,45
E02001612,56
E02001613,92
E02001614,98
E02001615,98
E02001616,105
E02001617,107
E02001618,77
E02001619,100
E02001620,109
E02001621,104
E02001622,96
E02001623,104
E02001624,102
E02001625,101
E02001626,86
E02001627,89
E02001628,111
E02001629,96
E02001630,101
E02001631,85
E02001632,96
E02001633,72
E02001634,87
E02001635,77
E02001636,89
E02001637,98
E02001638,86
E02001639,82
E02001640,85
E02001642,95
E02001643,76
E02001646,82
E02001647,96
E02001648,77
E02001649,92
E02001650,84
E02001651,69
E02001652,83
E02001653,84
E02001654,94
E02001655,94
E02001656,79
E02001657,76
E02001658,86
E02001659,94
E02001660,81
E02001661,82
E02001662,90
E02001663,81
E02001664,85
E02001665,73
E02001666,88
E02001669,75
E02001670,79
E02001671,87
E02001672,84
E02001673,78
E02001674,76
E02001675,77
E02001676,71
E02001678,62
E02001679,68
E02001680,68
E02001681,63
E02001682,63
E02001683,52
E02001684,140
E02001685,73
E02001686,74
E02001688,115
E02001689,122
E02001690,98
E02001691,128
E02001692,133
E02001693,138
E02001694,106
E02001695,140
E02001696,140
E02001697,130
E02001698,92
E02001699,138
E02001700,103
E02001701,121
E02001702,135
E02001703,66
E02001704,126
E02001705,38
E02001706,119
E02001707,111
E02001708,90
E02001709,104
E02001710,97
E02001711,83
E02001712,115
E02001713,106
E02001714,119
E02001715,100
E02001718,91
E02001719,121
E02001720,116
E02001721,61
E02001722,82
E02001723,101
E02001724,125
E02001725,124
E02001726,100
E02001727,120
E02001728,76
E02001729,115
E02001730,126
E02001731,121
E02001732,88
E02001733,127
E02001734,95
E02001735,121
E02001736,107
E02001737,118
E02001738,72
E02001739,97
E02001740,75
E02001741,100
E02001742,85
E02001743,74
E02001744,100
E02001745,103
E02001746,82
E02001747,80
E02001748,107
E02001749,108
E02001750,96
E02001751,109
E02001752,107
E02001753,84
E02001754,93
E02001755,113
E02001756,114
E02001757,106
E02001758,116
E02001759,102
E02001760,111
E02001761,115
E02001762,113
E02001763,124
E02001764,111
E02001765,122
E02001766,119
E02001767,116
E02001768,90
E02001769,107
E02001770,99
E02001771,87
E02001772,109
E02001773,99
E02001774,128
E02001775,89
E02001776,130
E02001777,128
E02001778,112
E02001779,116
E02001780,98
E02001781,124
E02001782,131
E02001783,114
E02001784,131
E02001785,68
E02001786,108
