msoa,index-of-transport-accessibility
E02000984,570
E02000985,601
E02000986,644
E02000987,744
E02000988,715
E02000989,597
E02000990,702
E02000991,687
E02000992,785
E02000993,744
E02000994,763
E02000995,712
E02000996,677
E02000997,826
E02000998,757
E02000999,841
E02001000,815
E02001001,735
E02001002,684
E02001003,857
E02001004,745
E02001005,858
E02001006,803
E02001007,685
E02001008,809
E02001009,897
E02001010,863
E02001011,872
E02001012,827
E02001013,918
E02001014,776
E02001015,954
E02001016,857
E02001017,941
E02001018,721
E02001019,745
E02001020,750
E02001021,694
E02001022,835
E02001023,711
E02001024,647
E02001025,946
E02001026,957
E02001027,743
E02001028,658
E02001029,849
E02001030,631
E02001031,849
E02001032,647
E02001033,712
E02001034,694
E02001035,874
E02001036,819
E02001037,951
E02001038,982
E02001039,953
E02001040,961
E02001041,935
E02001042,927
E02001043,863
E02001044,861
E02001045,907
E02001046,931
E02001047,856
E02001048,842
E02001049,880
E02001050,829
E02001051,734
E02001052,750
E02001053,678
E02001055,706
E02001056,642
E02001057,684
E02001059,631
E02001061,688
E02001062,738
E02001063,761
E02001064,664
E02001065,661
E02001066,654
E02001067,684
E02001068,755
E02001069,700
E02001070,655
E02001071,599
E02001072,676
E02001073,749
E02001074,714
E02001075,573
E02001076,585
E02001077,742
E02001078,581
E02001079,756
E02001080,646
E02001081,749
E02001082,728
E02001083,787
E02001084,675
E02001085,672
E02001086,828
E02001087,731
E02001088,838
E02001089,776
E02001090,862
E02001091,787
E02001092,821
E02001093,806
E02001094,813
E02001095,836
E02001096,780
E02001097,820
E02001098,793
E02001099,843
E02001100,794
E02001101,840
E02001102,854
E02001103,679
E02001104,776
E02001105,921
E02001106,902
E02001107,956
E02001108,765
E02001109,773
E02001110,556
E02001111,849
E02001112,900
E02001113,907
E02001114,942
E02001115,670
E02001116,793
E02001117,437
E02001118,642
E02001119,808
E02001121,852
E02001123,714
E02001124,923
E02001125,938
E02001126,793
E02001127,831
E02001128,900
E02001129,807
E02001130,830
E02001131,739
E02001132,650
E02001133,658
E02001134,840
E02001135,743
E02001136,772
E02001137,751
E02001138,741
E02001139,808
E02001140,855
E02001141,895
E02001142,849
E02001143,934
E02001144,974
E02001145,952
E02001146,910
E02001147,925
E02001148,910
E02001149,874
E02001150,835
E02001151,980
E02001152,942
E02001153,895
E02001154,887
E02001155,891
E02001156,946
E02001157,797
E02001158,769
E02001159,841
E02001160,803
E02001161,980
E02001162,926
E02001163,932
E02001164,888
E02001165,895
E02001166,815
E02001167,778
E02001168,882
E02001169,915
E02001170,934
E02001171,883
E02001172,790
E02001173,798
E02001174,853
E02001175,978
E02001176,923
E02001177,900
E02001178,798
E02001179,825
E02001180,867
E02001181,969
E02001182,870
E02001183,942
E02001184,877
E02001185,797
E02001186,763
E02001187,762
E02001188,672
E02001189,694
E02001190,806
E02001191,684
E02001192,696
E02001193,780
E02001194,723
E02001195,807
E02001196,549
E02001197,820
E02001198,709
E02001199,749
E02001200,787
E02001201,754
E02001202,733
E02001203,400
E02001204,795
E02001205,764
E02001206,455
E02001207,560
E02001208,826
E02001209,674
E02001210,618
E02001211,818
E02001212,669
