msoa,index-of-transport-accessibility
E02000984,53
E02000985,53
E02000986,59
E02000987,61
E02000988,65
E02000989,42
E02000990,55
E02000991,58
E02000992,51
E02000993,68
E02000994,68
E02000995,60
E02000996,69
E02000997,66
E02000998,73
E02000999,84
E02001000,89
E02001001,63
E02001002,66
E02001003,52
E02001004,67
E02001005,98
E02001006,84
E02001007,97
E02001008,60
E02001009,81
E02001010,185
E02001011,91
E02001012,102
E02001013,97
E02001014,100
E02001015,96
E02001016,83
E02001017,74
E02001018,85
E02001019,56
E02001020,60
E02001021,47
E02001022,84
E02001023,89
E02001024,55
E02001025,70
E02001026,105
E02001027,95
E02001028,84
E02001029,99
E02001030,91
E02001031,90
E02001032,86
E02001033,99
E02001034,111
E02001035,58
E02001036,78
E02001037,109
E02001038,122
E02001039,89
E02001040,94
E02001041,165
E02001042,125
E02001043,91
E02001044,144
E02001045,97
E02001046,149
E02001047,106
E02001048,168
E02001049,119
E02001050,150
E02001051,120
E02001052,242
E02001053,175
E02001055,152
E02001056,129
E02001057,224
E02001059,174
E02001061,130
E02001062,215
E02001063,190
E02001064,161
E02001065,119
E02001066,159
E02001067,161
E02001068,132
E02001069,121
E02001070,141
E02001071,163
E02001072,99
E02001073,148
E02001074,122
E02001075,177
E02001076,124
E02001077,166
E02001078,139
E02001079,115
E02001080,145
E02001081,116
E02001082,138
E02001083,146
E02001084,117
E02001085,141
E02001086,116
E02001087,140
E02001088,99
E02001089,140
E02001090,109
E02001091,83
E02001092,88
E02001093,101
E02001094,80
E02001095,84
E02001096,85
E02001097,82
E02001098,54
E02001099,69
E02001100,93
E02001101,64
E02001102,64
E02001103,49
E02001104,66
E02001105,70
E02001106,75
E02001107,78
E02001108,75
E02001109,70
E02001110,16
E02001111,82
E02001112,102
E02001113,99
E02001114,115
E02001115,57
E02001116,74
E02001117,56
E02001118,80
E02001119,79
E02001121,104
E02001123,60
E02001124,136
E02001125,105
E02001126,95
E02001127,92
E02001128,124
E02001129,165
E02001130,86
E02001131,109
E02001132,72
E02001133,34
E02001134,93
E02001135,63
E02001136,56
E02001137,42
E02001138,53
E02001139,66
E02001140,55
E02001141,90
E02001142,53
E02001143,88
E02001144,81
E02001145,72
E02001146,119
E02001147,74
E02001148,122
E02001149,87
E02001150,84
E02001151,77
E02001152,93
E02001153,81
E02001154,137
E02001155,109
E02001156,82
E02001157,75
E02001158,82
E02001159,95
E02001160,72
E02001161,87
E02001162,70
E02001163,100
E02001164,56
E02001165,85
E02001166,148
E02001167,91
E02001168,94
E02001169,71
E02001170,81
E02001171,123
E02001172,174
E02001173,141
E02001174,106
E02001175,70
E02001176,110
E02001177,114
E02001178,255
E02001179,121
E02001180,173
E02001181,56
E02001182,81
E02001183,86
E02001184,150
E02001185,55
E02001186,41
E02001187,102
E02001188,89
E02001189,99
E02001190,90
E02001191,98
E02001192,176
E02001193,113
E02001194,121
E02001195,94
E02001196,51
E02001197,118
E02001198,72
E02001199,133
E02001200,154
E02001201,101
E02001202,160
E02001203,58
E02001204,117
E02001205,111
E02001206,62
E02001207,80
E02001208,75
E02001209,130
E02001210,94
E02001211,103
E02001212,83
E02001213,146
E02001214,95
E02001215,41
E02001216,84
E02001217,94
E02001218,65
E02001219,50
E02001220,74
E02001221,58
E02001222,132
E02001223,58
E02001224,39
E02001225,78
E02001226,58
E02001227,67
E02001228,62
E02001229,76
E02001230,83
E02001231,61
E02001232,76
E02001233,99
E02001234,87
E02001235,94
E02001236,103
E02001237,44
E02001238,94
E02001239,109
E02001240,154
E02001241,124
E02001242,129
E02001243,64
E02001244,57
E02001245,96
E02001246,67
E02001247,121
E02001248,79
E02001249,96
E02001250,68
E02001251,36
E02001252,106
E02001253,109
E02001254,78
E02001255,64
E02001256,86
E02001257,70
E02001258,84
E02001259,140
E02001260,89
E02001261,141
E02001262,161
E02001263,73
E02001264,157
E02001265,63
E02001266,142
E02001267,137
E02001268,74
E02001269,168
E02001270,102
E02001271,55
E02001272,107
E02001273,121
E02001274,63
E02001275,52
E02001276,92
E02001277,57
E02001278,99
E02001279,86
E02001280,70
E02001281,77
E02001282,103
E02001283,53
E02001284,74
E02001285,59
E02001286,40
E02001287,56
E02001288,46
E02001289,41
E02001290,52
E02001291,54
E02001292,71
E02001293,53
E02001294,69
E02001295,94
E02001296,59
E02001297,46
E02001298,89
E02001299,86
E02001300,82
E02001301,75
E02001302,63
E02001303,75
E02001304,85
E02001305,60
E02001306,62
E02001307,50
E02001308,96
E02001309,87
E02001310,84
E02001311,67
E02001312,61
E02001313,77
E02001314,54
E02001315,53
E02001316,74
E02001317,65
E02001318,106
E02001319,55
E02001320,71
E02001321,65
E02001322,73
E02001323,72
E02001324,56
E02001325,52
E02001326,72
E02001327,14
E02001328,28
E02001329,31
E02001330,37
E02001331,25
E02001332,11
E02001333,72
E02001334,35
E02001335,75
E02001336,30
E02001337,34
E02001338,80
E02001339,93
E02001340,68
E02001341,64
E02001342,104
E02001343,11
E02001344,54
E02001345,82
E02001346,51
E02001347,83
E02001348,85
E02001349,111
E02001350,46
E02001351,55
E02001352,99
E02001353,43
E02001354,55
E02001355,65
E02001356,65
E02001357,60
E02001358,94
E02001359,35
E02001360,117
E02001361,58
E02001362,90
E02001363,17
E02001364,67
E02001365,69
E02001366,85
E02001367,73
E02001368,120
E02001369,102
E02001370,71
E02001371,39
E02001372,68
E02001373,82
E02001374,73
E02001375,89
E02001376,79
E02001377,107
E02001378,115
E02001380,118
E02001381,94
E02001382,99
E02001383,103
E02001384,100
E02001385,67
E02001386,46
E02001387,75
E02001388,78
E02001389,74
E02001390,84
E02001391,47
E02001392,60
E02001393,58
E02001394,63
E02001395,106
E02001396,86
E02001397,59
E02001398,87
E02001399,87
E02001400,79
E02001401,90
E02001402,94
E02001403,90
E02001404,56
E02001405,12
E02001406,1
E02001407,41
E02001408,78
E02001409,44
E02001410,42
E02001411,42
E02001412,20
E02001413,48
E02001414,10
E02001415,67
E02001416,57
E02001417,44
E02001418,78
E02001419,71
E02001420,52
E02001421,31
E02001422,54
E02001423,39
E02001424,39
E02001425,41
E02001426,83
E02001427,16
E02001428,62
E02001429,33
E02001430,31
E02001431,28
E02001432,35
E02001433,19
E02001434,53
E02001435,38
E02001436,31
E02001437,33
E02001438,37
E02001439,39
E02001440,41
E02001441,54
E02001442,28
E02001443,53
E02001444,27
E02001445,29
