msoa,index-of-transport-accessibility
E02000984,8
E02000985,10
E02000986,13
E02000987,5
E02000988,15
E02000989,11
E02000990,4
E02000991,14
E02000992,5
E02000993,17
E02000994,19
E02000995,13
E02000996,14
E02000997,5
E02000998,17
E02000999,22
E02001000,22
E02001001,16
E02001002,15
E02001003,13
E02001004,19
E02001005,21
E02001006,18
E02001007,15
E02001008,18
E02001009,17
E02001010,21
E02001011,8
E02001012,19
E02001013,17
E02001014,9
E02001015,14
E02001016,17
E02001017,15
E02001018,10
E02001019,4
E02001020,7
E02001021,9
E02001022,9
E02001023,11
E02001024,11
E02001025,10
E02001026,12
E02001027,14
E02001028,14
E02001029,17
E02001030,14
E02001031,16
E02001032,14
E02001033,14
E02001034,14
E02001035,11
E02001036,13
E02001037,14
E02001038,14
E02001039,11
E02001040,15
E02001041,17
E02001042,21
E02001043,21
E02001044,21
E02001045,19
E02001046,18
E02001047,19
E02001048,20
E02001049,20
E02001050,20
E02001051,20
E02001052,22
E02001053,21
E02001055,21
E02001056,21
E02001057,27
E02001059,24
E02001061,23
E02001062,29
E02001063,28
E02001064,27
E02001065,24
E02001066,29
E02001067,24
E02001068,32
E02001069,32
E02001070,31
E02001071,29
E02001072,26
E02001073,25
E02001074,31
E02001075,28
E02001076,32
E02001077,26
E02001078,30
E02001079,29
E02001080,31
E02001081,23
E02001082,27
E02001083,26
E02001084,24
E02001085,26
E02001086,26
E02001087,25
E02001088,19
E02001089,23
E02001090,20
E02001091,18
E02001092,17
E02001093,16
E02001094,14
E02001095,16
E02001096,12
E02001097,12
E02001098,13
E02001099,13
E02001100,13
E02001101,14
E02001102,16
E02001103,3
E02001104,15
E02001105,19
E02001106,19
E02001107,16
E02001108,19
E02001109,17
E02001110,6
E02001111,25
E02001112,18
E02001113,23
E02001114,23
E02001115,13
E02001116,17
E02001117,5
E02001118,12
E02001119,19
E02001121,23
E02001123,18
E02001124,19
E02001125,23
E02001126,21
E02001127,20
E02001128,22
E02001129,17
E02001130,19
E02001131,19
E02001132,4
E02001133,5
E02001134,9
E02001135,12
E02001136,11
E02001137,8
E02001138,8
E02001139,15
E02001140,12
E02001141,13
E02001142,13
E02001143,15
E02001144,11
E02001145,11
E02001146,14
E02001147,12
E02001148,11
E02001149,8
E02001150,7
E02001151,7
E02001152,10
E02001153,8
E02001154,16
E02001155,10
E02001156,16
E02001157,15
E02001158,13
E02001159,14
E02001160,13
E02001161,12
E02001162,13
E02001163,16
E02001164,21
E02001165,13
E02001166,22
E02001167,20
E02001168,16
E02001169,11
E02001170,17
E02001171,18
E02001172,26
E02001173,22
E02001174,19
E02001175,13
E02001176,16
E02001177,15
E02001178,24
E02001179,17
E02001180,23
E02001181,8
E02001182,13
E02001183,10
E02001184,22
E02001185,4
E02001186,2
E02001187,22
E02001188,23
E02001189,23
E02001190,17
E02001191,13
E02001192,27
E02001193,25
E02001194,24
E02001195,16
E02001196,9
E02001197,25
E02001198,13
E02001199,25
E02001200,24
E02001201,21
E02001202,22
E02001203,4
E02001204,23
E02001205,22
E02001206,9
E02001207,16
E02001208,21
